"filename", "language", "SQL", "Dart", "Swift", "JSON", "C++", "XML", "Markdown", "YAML", "HTML", "Gradle", "Properties", "comment", "blank", "total"
"c:\Users\ferna\development\flutter\concentrationscreen\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\ferna\development\flutter\concentrationscreen\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 22, 4, 29
"c:\Users\ferna\development\flutter\concentrationscreen\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 5, 12, 81
"c:\Users\ferna\development\flutter\concentrationscreen\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\ferna\development\flutter\concentrationscreen\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 11, 1, 49
"c:\Users\ferna\development\flutter\concentrationscreen\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\ferna\development\flutter\concentrationscreen\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"c:\Users\ferna\development\flutter\concentrationscreen\android\app\src\main\res\mipmap-anydpi-v26\launcher_icon.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ferna\development\flutter\concentrationscreen\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\ferna\development\flutter\concentrationscreen\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"c:\Users\ferna\development\flutter\concentrationscreen\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\ferna\development\flutter\concentrationscreen\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\ferna\development\flutter\concentrationscreen\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\ferna\development\flutter\concentrationscreen\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\ferna\development\flutter\concentrationscreen\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 5, 27
"c:\Users\ferna\development\flutter\concentrationscreen\assets\createdb.sql", "SQL", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\ferna\development\flutter\concentrationscreen\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ferna\development\flutter\concentrationscreen\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ferna\development\flutter\concentrationscreen\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\ferna\development\flutter\concentrationscreen\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ferna\development\flutter\concentrationscreen\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
